sc_status,income,purpose,activity,project_cost,loan_required,education_level,course,course_type,course_recognized,location,recommended_scheme
Yes,217619,Business,Small Manufacturing,65614,32010,NA,NA,NA,NA,Rural,MFS
Yes,461020,Business,Service Business,55525,12202,NA,NA,NA,NA,Rural,MFS
Yes,248360,Business,Tailoring,7327008,5328537,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,372994,Education,NA,487770,487770,Postgraduate,Medical,Medical,Yes,Rural,ELS
Yes,299698,Business,Repair Shop,105066,40886,NA,NA,NA,NA,Rural,MFS
Yes,194303,Business,Poultry,443072,308687,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,131988,Business,Food Business,5000000,5000000,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,447250,Business,Repair Shop,391812,105182,NA,NA,NA,NA,Rural,UNY
Yes,675443,Business,Poultry,107621,116701,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,261937,Business,Transport,112095,65878,NA,NA,NA,NA,Urban,AMY
Yes,429670,Business,Grocery Shop,133612,100349,NA,NA,NA,NA,Urban,MFS
Yes,385854,Business,Fisheries,80118,76981,NA,NA,NA,NA,Rural,AMY
Yes,343791,Business,Fisheries,228448,100243,NA,NA,NA,NA,Urban,UNY
Yes,110804,Education,NA,4353644,3723566,12th,Pharmacy,Medical,Yes,Urban,ELS
Yes,441056,Education,NA,1165313,1165313,Postgraduate,MCA,Medical,Yes,Urban,ELS
No,167730,Business,Poultry,400262,361213,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,367275,Education,NA,633792,633792,Graduate,BTech,Management,Yes,Urban,ELS
Yes,304877,Education,NA,1450906,787951,Postgraduate,MBA,Medical,No,Urban,NO_ELIGIBLE_SCHEME
Yes,473957,Business,Grocery Shop,268132,267351,NA,NA,NA,NA,Urban,UNY
Yes,134009,Business,Computer Centre,87002,13830,NA,NA,NA,NA,Urban,AMY
Yes,102400,Business,Poultry,307971,136596,NA,NA,NA,NA,Rural,UNY
Yes,420475,Business,Food Business,35175,25902,NA,NA,NA,NA,Urban,MFS
Yes,257339,Business,Tailoring,112121,100770,NA,NA,NA,NA,Urban,AMY
Yes,335597,Business,Grocery Shop,95064,91766,NA,NA,NA,NA,Urban,AMY
Yes,331222,Business,Computer Centre,135914,30365,NA,NA,NA,NA,Urban,MFS
Yes,130917,Business,Fisheries,2575911,1926651,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,214579,Business,Small Manufacturing,121946,81802,NA,NA,NA,NA,Rural,MFS
Yes,418054,Business,Service Business,53292,10117,NA,NA,NA,NA,Urban,MFS
Yes,499906,Business,Tailoring,2226493,915458,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,394250,Business,Fisheries,37455,29468,NA,NA,NA,NA,Rural,MFS
Yes,277717,Education,NA,4299161,3176493,12th,MCA,Professional,Yes,Urban,ELS
Yes,350483,Business,Poultry,3786856,3269212,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,247271,Education,NA,1991838,1991838,Graduate,BTech,Management,Yes,Rural,ELS
Yes,418045,Business,Poultry,274941,188555,NA,NA,NA,NA,Urban,UNY
Yes,201353,Business,Food Business,5000000,5000000,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,222813,Business,Computer Centre,5000000,5000000,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,187438,Business,Small Manufacturing,418313,196293,NA,NA,NA,NA,Rural,UNY
Yes,478252,Business,Small Manufacturing,412720,366809,NA,NA,NA,NA,Rural,UNY
Yes,339552,Business,Grocery Shop,61653,45324,NA,NA,NA,NA,Urban,AMY
Yes,105418,Business,Tailoring,7184192,6113171,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,407208,Business,Food Business,137700,90315,NA,NA,NA,NA,Rural,AMY
Yes,221260,Business,Grocery Shop,2224889,603937,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,466415,Business,Tailoring,137744,58374,NA,NA,NA,NA,Urban,MFS
Yes,451465,Business,Small Manufacturing,98690,75214,NA,NA,NA,NA,Rural,MFS
Yes,242896,Business,Poultry,49562,15836,NA,NA,NA,NA,Rural,MFS
Yes,72720,Education,NA,271135,271135,12th,Engineering,Technical,Yes,Urban,ELS
Yes,469201,Business,Repair Shop,3606972,1816186,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,322007,Education,NA,2891686,2444031,Graduate,Law,Professional,No,Urban,NO_ELIGIBLE_SCHEME
Yes,166764,Education,NA,819680,819680,12th,MCA,Medical,Yes,Rural,ELS
Yes,315248,Education,NA,3654010,1541057,Graduate,BCA,Professional,Yes,Urban,ELS
Yes,148434,Business,Service Business,93418,55075,NA,NA,NA,NA,Urban,AMY
Yes,55497,Business,Repair Shop,155983,83673,NA,NA,NA,NA,Urban,UNY
Yes,307042,Business,Food Business,85872,24150,NA,NA,NA,NA,Rural,MFS
Yes,345820,Business,Food Business,1395496,180167,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,299296,Business,Computer Centre,50807,37617,NA,NA,NA,NA,Urban,AMY
Yes,88286,Business,Poultry,115254,53310,NA,NA,NA,NA,Urban,AMY
Yes,477228,Education,NA,2933097,3251539,Graduate,Law,Medical,No,Urban,NO_ELIGIBLE_SCHEME
Yes,608545,Business,Fisheries,414902,32022,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,144816,Business,Computer Centre,87627,24067,NA,NA,NA,NA,Urban,MFS
Yes,498517,Business,Fisheries,64029,47349,NA,NA,NA,NA,Urban,MFS
Yes,477111,Business,Grocery Shop,88549,72709,NA,NA,NA,NA,Rural,AMY
Yes,123860,Business,Grocery Shop,88929,42495,NA,NA,NA,NA,Rural,MFS
Yes,351652,Business,Fisheries,39801,27511,NA,NA,NA,NA,Urban,AMY
No,118972,Business,Service Business,222389,164597,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,219841,Business,Small Manufacturing,3488931,1218289,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,71513,Business,Grocery Shop,77360,17143,NA,NA,NA,NA,Urban,AMY
Yes,112352,Business,Food Business,1547504,1504933,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,497126,Business,Grocery Shop,46074,18895,NA,NA,NA,NA,Urban,MFS
Yes,191942,Education,NA,2739605,1922834,Postgraduate,Medical,Management,Yes,Rural,ELS
Yes,343422,Business,Grocery Shop,374572,244794,NA,NA,NA,NA,Rural,UNY
Yes,357759,Business,Grocery Shop,110125,61451,NA,NA,NA,NA,Urban,MFS
Yes,310640,Business,Service Business,111108,67392,NA,NA,NA,NA,Urban,AMY
No,290717,Business,Poultry,472743,338807,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,396351,Business,Grocery Shop,90913,51799,NA,NA,NA,NA,Urban,AMY
Yes,350305,Business,Service Business,453446,395232,NA,NA,NA,NA,Urban,UNY
Yes,359478,Education,NA,882647,487685,Graduate,Engineering,Medical,Yes,Urban,ELS
Yes,54415,Business,Repair Shop,378255,34120,NA,NA,NA,NA,Rural,UNY
Yes,85744,Business,Small Manufacturing,54100,44118,NA,NA,NA,NA,Rural,MFS
Yes,239260,Business,Poultry,143527,60609,NA,NA,NA,NA,Rural,UNY
Yes,428828,Business,Computer Centre,91628,63939,NA,NA,NA,NA,Urban,AMY
Yes,496476,Business,Computer Centre,85549,59345,NA,NA,NA,NA,Urban,MFS
No,473433,Business,Transport,244465,131244,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,440365,Business,Fisheries,4957018,3936528,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,375237,Business,Grocery Shop,125068,12389,NA,NA,NA,NA,Rural,AMY
Yes,452347,Business,Service Business,73512,46710,NA,NA,NA,NA,Urban,MFS
Yes,119220,Business,Food Business,119443,80966,NA,NA,NA,NA,Urban,MFS
Yes,78581,Education,NA,2124195,1071995,Postgraduate,BTech,Professional,Yes,Urban,ELS
Yes,140658,Business,Fisheries,1220632,950253,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,249331,Business,Service Business,46700,30537,NA,NA,NA,NA,Rural,AMY
Yes,392755,Business,Small Manufacturing,390594,170324,NA,NA,NA,NA,Rural,UNY
Yes,249928,Education,NA,3070403,3070403,Postgraduate,MCA,Professional,Yes,Urban,ELS
No,309074,Business,Tailoring,469359,203467,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,248657,Business,Poultry,393669,96128,NA,NA,NA,NA,Rural,UNY
Yes,384084,Business,Transport,96247,27499,NA,NA,NA,NA,Rural,MFS
Yes,442373,Business,Tailoring,270613,260574,NA,NA,NA,NA,Rural,UNY
Yes,81911,Business,Poultry,310445,161372,NA,NA,NA,NA,Urban,UNY
Yes,156326,Business,Service Business,221070,59020,NA,NA,NA,NA,Urban,UNY
Yes,340539,Business,Food Business,127440,47467,NA,NA,NA,NA,Rural,AMY
Yes,176376,Education,NA,1800794,1800794,12th,Pharmacy,Medical,Yes,Rural,ELS
No,381247,Business,Repair Shop,415697,281571,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,144403,Business,Service Business,456883,178258,NA,NA,NA,NA,Rural,UNY
Yes,297292,Business,Poultry,413986,26815,NA,NA,NA,NA,Urban,UNY
No,100456,Business,Repair Shop,320064,142778,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,449341,Business,Tailoring,200369,150498,NA,NA,NA,NA,Urban,UNY
Yes,252053,Education,NA,3063038,1482298,12th,BCA,Management,Yes,Rural,ELS
Yes,239526,Business,Transport,4695354,410384,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,410971,Business,Repair Shop,70215,58103,NA,NA,NA,NA,Rural,MFS
Yes,194501,Business,Food Business,56335,55117,NA,NA,NA,NA,Urban,AMY
Yes,317355,Business,Small Manufacturing,853053,722723,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,184778,Business,Computer Centre,1445532,1366229,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,119520,Education,NA,1178941,1178941,Graduate,Pharmacy,Professional,Yes,Urban,ELS
Yes,470508,Business,Computer Centre,110012,76167,NA,NA,NA,NA,Urban,MFS
Yes,392999,Business,Poultry,58265,54660,NA,NA,NA,NA,Rural,AMY
Yes,396908,Education,NA,2828724,1050031,Graduate,MCA,Technical,Yes,Rural,ELS
Yes,315225,Education,NA,2891487,1090912,12th,BTech,Technical,Yes,Rural,ELS
Yes,111301,Education,NA,3135733,3135733,Graduate,BCA,Medical,Yes,Urban,ELS
Yes,449874,Business,Service Business,7909234,5233663,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,178926,Business,Transport,135138,95715,NA,NA,NA,NA,Urban,AMY
Yes,414486,Education,NA,4293025,3387526,Graduate,Pharmacy,Medical,Yes,Urban,ELS
Yes,367994,Business,Food Business,58389,39438,NA,NA,NA,NA,Urban,MFS
No,196560,Business,Transport,131929,383928,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,434538,Business,Food Business,84752,70369,NA,NA,NA,NA,Urban,AMY
Yes,89511,Business,Repair Shop,484587,331801,NA,NA,NA,NA,Rural,UNY
Yes,204938,Business,Small Manufacturing,3282317,828332,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,214131,Business,Service Business,314767,230951,NA,NA,NA,NA,Rural,UNY
Yes,326637,Business,Transport,4000729,1026629,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,270610,Business,Repair Shop,5000000,5000000,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,292308,Business,Tailoring,96330,15850,NA,NA,NA,NA,Rural,AMY
Yes,467980,Business,Small Manufacturing,424065,377832,NA,NA,NA,NA,Rural,UNY
Yes,175960,Business,Small Manufacturing,5000000,5000000,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,360657,Business,Grocery Shop,114945,50907,NA,NA,NA,NA,Rural,MFS
Yes,212545,Education,NA,669185,669185,Graduate,Nursing,Medical,Yes,Urban,ELS
Yes,583393,Business,Transport,124547,33163,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,336885,Business,Food Business,5000000,5000000,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,381730,Education,NA,3537776,2646157,Graduate,BCA,Management,Yes,Urban,ELS
Yes,102220,Education,NA,1785926,1785926,Graduate,MBA,Technical,Yes,Urban,ELS
Yes,161858,Business,Computer Centre,75796,38992,NA,NA,NA,NA,Urban,MFS
Yes,129453,Business,Poultry,6110412,6232152,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,578850,Business,Fisheries,327679,136665,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,444820,Business,Repair Shop,3325783,2174654,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,433329,Business,Poultry,483322,135846,NA,NA,NA,NA,Rural,UNY
Yes,751855,Business,Food Business,476860,319168,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,265567,Business,Grocery Shop,6846734,6891707,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,98881,Business,Fisheries,3865879,1788012,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,105705,Business,Food Business,110473,94323,NA,NA,NA,NA,Urban,MFS
Yes,186646,Education,NA,2310122,967667,Postgraduate,MCA,Medical,No,Urban,NO_ELIGIBLE_SCHEME
Yes,85440,Business,Fisheries,215402,150366,NA,NA,NA,NA,Urban,UNY
Yes,347382,Business,Computer Centre,132801,67062,NA,NA,NA,NA,Rural,MFS
Yes,175522,Business,Fisheries,2211263,1579855,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,278843,Business,Computer Centre,5000000,5000000,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,447087,Business,Computer Centre,6727914,5409515,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,556474,Business,Service Business,491136,271434,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,163898,Business,Grocery Shop,83963,67984,NA,NA,NA,NA,Rural,MFS
Yes,490477,Education,NA,912863,912863,Postgraduate,MCA,Medical,Yes,Rural,ELS
Yes,246563,Business,Fisheries,74979,35411,NA,NA,NA,NA,Urban,AMY
Yes,461845,Business,Poultry,64993,59164,NA,NA,NA,NA,Urban,MFS
Yes,394214,Business,Computer Centre,78033,64118,NA,NA,NA,NA,Rural,AMY
Yes,195516,Business,Poultry,265379,92507,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,375435,Business,Computer Centre,7296634,6257298,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,406561,Education,NA,983170,983170,12th,Medical,Technical,Yes,Rural,ELS
Yes,477145,Business,Grocery Shop,2809924,2291904,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,382980,Business,Service Business,397048,197277,NA,NA,NA,NA,Urban,UNY
Yes,386631,Business,Transport,445379,257424,NA,NA,NA,NA,Rural,UNY
Yes,140482,Business,Computer Centre,2997470,1066072,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,436884,Business,Tailoring,119383,99600,NA,NA,NA,NA,Urban,AMY
Yes,61890,Education,NA,1648217,3770277,Graduate,BCA,Technical,No,Urban,NO_ELIGIBLE_SCHEME
Yes,93277,Business,Food Business,47326,32031,NA,NA,NA,NA,Rural,MFS
Yes,202389,Business,Transport,50258,16900,NA,NA,NA,NA,Rural,AMY
Yes,239422,Business,Food Business,7176995,5948620,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,372779,Business,Transport,139273,74139,NA,NA,NA,NA,Urban,MFS
Yes,260648,Business,Computer Centre,52801,48024,NA,NA,NA,NA,Urban,AMY
Yes,257841,Business,Grocery Shop,205369,65886,NA,NA,NA,NA,Urban,UNY
Yes,74454,Business,Fisheries,317629,284366,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,427361,Business,Tailoring,1369348,84094,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,174897,Business,Computer Centre,4809472,3077983,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,288042,Business,Tailoring,2486531,812654,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,99555,Education,NA,2872567,940640,12th,BTech,Professional,Yes,Rural,ELS
Yes,70837,Business,Small Manufacturing,33584,29608,NA,NA,NA,NA,Rural,AMY
Yes,149453,Business,Transport,4906444,1022539,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,248843,Business,Transport,42255,23280,NA,NA,NA,NA,Urban,MFS
Yes,292555,Education,NA,1843930,1843930,Postgraduate,Pharmacy,Management,Yes,Rural,ELS
Yes,400954,Business,Transport,5000000,5000000,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,280946,Education,NA,1954119,396885,Postgraduate,BCA,Professional,Yes,Urban,ELS
Yes,326674,Business,Computer Centre,117910,74157,NA,NA,NA,NA,Urban,MFS
Yes,369176,Education,NA,4036616,1908349,Graduate,Engineering,Medical,Yes,Rural,ELS
Yes,88959,Education,NA,4177509,974431,Postgraduate,Engineering,Management,Yes,Rural,ELS
Yes,325500,Business,Food Business,123387,59005,NA,NA,NA,NA,Urban,AMY
Yes,276596,Business,Service Business,2996156,1720904,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,273228,Education,NA,3587670,105558,Graduate,Engineering,Management,Yes,Urban,ELS
Yes,449564,Business,Fisheries,48868,19319,NA,NA,NA,NA,Rural,AMY
Yes,469799,Business,Service Business,2960969,1771875,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,130334,Business,Small Manufacturing,2640119,1556955,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,432905,Business,Service Business,7980347,5934355,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,466755,Business,Fisheries,48931,18571,NA,NA,NA,NA,Rural,AMY
Yes,261581,Education,NA,3190447,2421817,Graduate,Medical,Management,Yes,Rural,ELS
Yes,358241,Business,Computer Centre,136260,106680,NA,NA,NA,NA,Urban,MFS
Yes,494345,Education,NA,1405464,1405464,Postgraduate,Engineering,Professional,Yes,Rural,ELS
Yes,165722,Business,Service Business,36433,22004,NA,NA,NA,NA,Rural,MFS
Yes,385464,Business,Grocery Shop,192622,177538,NA,NA,NA,NA,Urban,UNY
Yes,423141,Business,Repair Shop,4163244,4008291,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,222660,Education,NA,782084,782084,Graduate,MCA,Professional,Yes,Urban,ELS
Yes,71759,Business,Computer Centre,3770517,2499472,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,249509,Business,Service Business,993113,233296,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,227387,Business,Poultry,361315,229914,NA,NA,NA,NA,Urban,UNY
Yes,111802,Business,Small Manufacturing,1549440,281037,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,105818,Business,Grocery Shop,51333,45492,NA,NA,NA,NA,Rural,AMY
Yes,71388,Education,NA,1531365,767714,Postgraduate,MCA,Technical,Yes,Urban,ELS
Yes,162965,Business,Repair Shop,7952569,5419503,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,143130,Business,Small Manufacturing,140640,32074,NA,NA,NA,NA,Rural,UNY
No,319366,Business,Fisheries,434344,121977,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,70612,Business,Food Business,1576831,282009,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,266587,Business,Tailoring,99446,49106,NA,NA,NA,NA,Rural,MFS
Yes,282899,Business,Transport,58271,57700,NA,NA,NA,NA,Urban,MFS
Yes,493292,Business,Tailoring,67767,60446,NA,NA,NA,NA,Rural,MFS
Yes,95489,Business,Small Manufacturing,2777028,387011,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,328243,Education,NA,2268274,1129662,Graduate,Medical,Management,Yes,Rural,ELS
Yes,206349,Education,NA,480401,480401,Postgraduate,Medical,Professional,Yes,Urban,ELS
Yes,127460,Business,Fisheries,77746,70619,NA,NA,NA,NA,Rural,MFS
Yes,481403,Business,Tailoring,5000000,5000000,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,346376,Education,NA,2901498,160665,Graduate,BCA,Technical,Yes,Rural,ELS
Yes,426774,Business,Food Business,105926,41359,NA,NA,NA,NA,Urban,AMY
Yes,356364,Education,NA,1117023,1117023,Graduate,Engineering,Professional,Yes,Urban,ELS
Yes,430697,Education,NA,121271,121271,Postgraduate,BTech,Technical,Yes,Urban,ELS
Yes,229965,Business,Repair Shop,181460,71421,NA,NA,NA,NA,Urban,UNY
Yes,176082,Business,Tailoring,134719,26571,NA,NA,NA,NA,Rural,AMY
Yes,197020,Business,Transport,4430807,3321007,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,474455,Business,Service Business,388810,125483,NA,NA,NA,NA,Rural,UNY
Yes,221355,Business,Repair Shop,185665,87234,NA,NA,NA,NA,Rural,UNY
Yes,215627,Education,NA,3403141,561798,Postgraduate,Pharmacy,Professional,Yes,Urban,ELS
Yes,419700,Business,Computer Centre,7440110,6435972,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,80807,Business,Grocery Shop,4699588,3255770,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,438454,Business,Repair Shop,91706,26769,NA,NA,NA,NA,Rural,MFS
Yes,471571,Education,NA,3522721,3522721,Postgraduate,Nursing,Technical,Yes,Rural,ELS
Yes,387877,Business,Small Manufacturing,5000000,5000000,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,132141,Business,Computer Centre,471158,229409,NA,NA,NA,NA,Urban,UNY
Yes,210242,Business,Grocery Shop,235957,29484,NA,NA,NA,NA,Rural,UNY
Yes,185189,Education,NA,2931235,2931235,12th,Engineering,Medical,Yes,Rural,ELS
Yes,238977,Education,NA,4148975,1716400,12th,Law,Professional,Yes,Rural,ELS
Yes,389235,Business,Small Manufacturing,221101,173654,NA,NA,NA,NA,Urban,UNY
Yes,325440,Business,Transport,4651565,1218528,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,314240,Education,NA,2808782,2808782,12th,Engineering,Technical,Yes,Rural,ELS
Yes,191211,Business,Service Business,372691,351910,NA,NA,NA,NA,Urban,UNY
Yes,229895,Education,NA,2204014,139074,Graduate,BTech,Professional,Yes,Rural,ELS
Yes,384093,Education,NA,1991652,1714959,12th,Pharmacy,Technical,Yes,Rural,ELS
Yes,487182,Business,Transport,46567,12233,NA,NA,NA,NA,Rural,AMY
Yes,384475,Education,NA,1494149,1494149,Graduate,MCA,Professional,Yes,Rural,ELS
Yes,324928,Business,Poultry,44026,16312,NA,NA,NA,NA,Rural,MFS
Yes,470424,Business,Tailoring,68309,37010,NA,NA,NA,NA,Urban,AMY
Yes,181238,Business,Service Business,42256,36391,NA,NA,NA,NA,Rural,AMY
Yes,291742,Business,Service Business,323149,122955,NA,NA,NA,NA,Rural,UNY
Yes,268377,Business,Grocery Shop,137104,66925,NA,NA,NA,NA,Rural,MFS
Yes,321513,Education,NA,1537764,1537764,12th,MCA,Management,Yes,Urban,ELS
Yes,152661,Business,Service Business,2620582,1529514,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,127207,Business,Service Business,3356192,2346633,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,457285,Business,Service Business,124581,52517,NA,NA,NA,NA,Rural,MFS
Yes,481965,Business,Food Business,57912,53306,NA,NA,NA,NA,Urban,MFS
Yes,374545,Education,NA,3348454,1664852,Graduate,Medical,Medical,Yes,Urban,ELS
Yes,438071,Business,Small Manufacturing,1866432,1830072,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,181084,Business,Repair Shop,118487,53154,NA,NA,NA,NA,Urban,AMY
Yes,287844,Business,Poultry,6503057,6222424,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,255459,Business,Poultry,175065,126475,NA,NA,NA,NA,Rural,UNY
Yes,276084,Business,Transport,372320,69760,NA,NA,NA,NA,Rural,UNY
Yes,350401,Business,Fisheries,4479443,2461910,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,262503,Business,Transport,81949,38053,NA,NA,NA,NA,Rural,AMY
Yes,333239,Business,Repair Shop,80577,43631,NA,NA,NA,NA,Rural,MFS
Yes,379212,Business,Poultry,6675931,5825627,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,430224,Business,Poultry,89889,62665,NA,NA,NA,NA,Rural,AMY
Yes,472996,Business,Poultry,131677,107587,NA,NA,NA,NA,Urban,AMY
Yes,83861,Business,Repair Shop,7417544,6418190,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,391054,Education,NA,2893867,2781923,Graduate,Pharmacy,Medical,Yes,Rural,ELS
Yes,429457,Business,Service Business,7342849,6185046,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,240713,Education,NA,692316,692316,12th,Pharmacy,Professional,Yes,Urban,ELS
Yes,291313,Education,NA,2197900,2197900,Postgraduate,Engineering,Medical,Yes,Rural,ELS
Yes,481468,Business,Tailoring,437048,53630,NA,NA,NA,NA,Rural,UNY
Yes,436221,Business,Small Manufacturing,489757,313509,NA,NA,NA,NA,Rural,UNY
Yes,316526,Business,Tailoring,224613,211665,NA,NA,NA,NA,Rural,UNY
Yes,421378,Business,Computer Centre,2907370,731275,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,250562,Business,Tailoring,50866,17084,NA,NA,NA,NA,Urban,MFS
Yes,106539,Business,Food Business,62821,26197,NA,NA,NA,NA,Rural,MFS
Yes,371424,Business,Computer Centre,72987,71038,NA,NA,NA,NA,Rural,MFS
Yes,204360,Business,Service Business,51821,37686,NA,NA,NA,NA,Rural,MFS
Yes,131137,Business,Poultry,5000000,5000000,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,432596,Education,NA,363860,269307,12th,BTech,Medical,Yes,Rural,ELS
Yes,164588,Business,Transport,35759,12206,NA,NA,NA,NA,Urban,AMY
Yes,371914,Business,Tailoring,55451,52932,NA,NA,NA,NA,Urban,AMY
Yes,315979,Business,Repair Shop,118063,56988,NA,NA,NA,NA,Rural,MFS
Yes,324061,Business,Grocery Shop,85363,11673,NA,NA,NA,NA,Rural,MFS
Yes,226314,Business,Grocery Shop,2642891,598146,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,179446,Education,NA,4372291,1099929,Postgraduate,BTech,Professional,Yes,Urban,ELS
Yes,496288,Business,Grocery Shop,2076656,64565,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,675358,Business,Computer Centre,237543,230682,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,143850,Business,Tailoring,80129,59047,NA,NA,NA,NA,Rural,AMY
Yes,243739,Business,Computer Centre,3379367,1290643,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,466386,Business,Fisheries,112821,16293,NA,NA,NA,NA,Rural,AMY
Yes,418714,Business,Repair Shop,444572,194324,NA,NA,NA,NA,Rural,UNY
Yes,298616,Business,Fisheries,69515,57536,NA,NA,NA,NA,Rural,AMY
Yes,442848,Education,NA,322904,322904,12th,Nursing,Medical,Yes,Urban,ELS
Yes,221408,Business,Grocery Shop,2840543,899762,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,55515,Education,NA,2785830,2785830,Graduate,Law,Professional,Yes,Rural,ELS
Yes,366498,Education,NA,1203919,1203919,12th,MCA,Technical,Yes,Rural,ELS
No,85424,Business,Poultry,80369,122686,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
